PICKUPLOCATION,avg(DURATION AS `AVERAGE(ms)`)
1,618043.1034482758
10,2357391.6323731137
100,851225.4925948099
101,585750.0
102,805794.1176470588
105,1164500.0
106,927018.8574597893
107,796388.4119901967
108,759007.2463768116
109,227500.0
11,1062220.0
110,191000.0
111,674125.0
112,868908.8584474886
113,827317.9696581324
114,886801.1075219197
115,877994.6808510638
116,898804.9023154848
117,2001312.5
118,302500.0
119,900382.1428571428
12,1258202.4820378837
120,871562.5
121,961072.463768116
122,1686625.0
123,783198.7951807228
124,1242955.223880597
125,857058.7632689828
126,1543640.350877193
127,898978.102189781
128,890269.2307692308
129,844690.0052511815
13,1038807.9817979155
130,1746475.138121547
131,1042161.7647058824
132,2295831.5292273965
133,918041.015625
134,862916.864608076
135,697712.8205128205
136,656322.5806451613
137,800615.148405431
138,1937333.8328785587
139,867842.1052631579
14,853334.2618384401
140,802958.1484985047
141,702666.7225311922
142,773579.1256357537
143,747762.6958855615
144,936129.8831324863
145,879223.179663938
146,881340.2261088028
147,894862.7450980392
148,944301.3717544235
149,2346326.923076923
15,772904.7619047619
150,1084647.0588235294
151,738212.3583860477
152,812627.2088808337
153,715500.0
154,1518571.4285714286
155,1005854.8387096775
156,1603777.7777777778
157,1130133.3333333333
158,923782.1439076402
159,905087.8243512975
16,2057028.5714285714
160,1347853.6585365853
161,865338.5614759207
162,866005.6655768615
163,880484.4683369265
164,856271.3155491552
165,705007.5187969925
166,821635.7383063283
167,746077.2946859903
168,710563.7834474175
169,1133728.2051282052
17,771612.3869171885
170,824962.7062081216
171,862176.4705882353
172,1205250.0
173,803866.0049627791
174,897864.5833333334
175,705285.7142857143
176,582000.0
177,1346091.6334661355
178,357587.0646766169
179,909359.2931937173
18,701595.4198473282
180,992469.696969697
181,912145.0004121672
182,643829.5454545454
183,753866.6666666666
184,1709400.0
185,1683194.8051948051
186,927019.807630085
187,15200.0
188,1048592.9352396973
189,939667.5392670158
19,491705.8823529412
190,1066539.3258426967
191,665576.2711864407
192,777387.3873873873
193,815487.302676733
194,977854.0145985401
195,993513.8248847927
196,1187168.1195516812
197,771232.1981424149
198,801502.6737967915
2,1864000.0
20,786757.5757575758
200,682013.8888888889
201,168375.0
202,821966.903073286
203,1823448.2758620689
204,115000.0
205,1406742.857142857
206,1013714.2857142857
207,499275.0809061489
208,726517.2413793104
209,1038446.8217934165
21,965260.2739726028
210,901072.9166666666
211,901040.8400971041
212,732090.9090909091
213,1003953.7037037037
214,414400.0
215,2453519.292604502
216,1390392.405063291
217,1165132.135306554
218,1213783.3333333333
219,2412157.6576576577
22,1284655.5555555555
220,705202.7649769585
221,801987.5776397516
222,1435777.7777777778
223,767617.9568634008
224,766134.9066338248
225,933039.0365448504
226,979332.622969704
227,828227.6422764228
228,951473.6842105263
229,763036.1598419617
23,766200.0
230,928452.9946509658
231,914224.9446453096
232,1006556.408248499
233,854426.4603500862
234,829027.4565736334
235,680638.7434554974
236,722277.3636116144
237,701694.372712872
238,739817.7762926187
239,736540.259410776
24,754812.7894549341
240,994379.3103448276
241,743121.2121212122
242,1191192.3076923077
243,1066945.861530453
244,1010445.6932773109
245,65000.0
246,867833.4275997326
247,764374.1758241758
248,792718.309859155
249,837262.9412793142
25,818495.6271221319
250,780352.4590163934
251,41000.0
252,1074217.391304348
253,1736466.6666666667
254,567362.0689655172
255,886331.2331989247
256,916037.0973579442
257,747022.9591836735
258,777163.1205673759
259,509659.0909090909
26,533246.1538461539
260,862869.6753760887
261,1176761.9392599089
262,728830.1527036746
263,674982.1701100203
264,810045.9301165933
265,491561.795268627
28,1477241.1128284389
29,891456.7901234567
3,605281.25
30,8188500.0
31,4927909.090909091
32,790320.0
33,1045080.6626565427
34,818868.0555555555
35,1141189.5424836602
36,1142318.848758465
37,1071139.8089171974
38,1014111.1111111111
39,1054577.7777777778
4,863879.2116513296
40,943899.7776637592
41,698487.8993818999
42,761489.9220639613
43,862767.2400746607
45,1058436.707998365
46,545666.6666666666
47,732758.3333333334
48,827262.5868318237
49,800219.7114075688
5,22000.0
50,801059.1067746432
51,863245.9016393443
52,941820.0305033046
53,860565.2173913043
54,876520.3094777563
55,1011990.7407407408
56,905453.1914893617
57,618644.0677966102
58,317000.0
59,1018666.6666666666
6,342315.7894736842
60,722175.8241758242
61,785303.2258064516
62,824490.0662251656
63,851389.5027624309
64,641793.1034482758
65,928296.0692980306
66,1014467.032967033
67,2186728.813559322
68,842790.6242485237
69,831487.9120879121
7,794772.076508991
70,1320145.2312138728
71,1225000.0
72,902726.5625
73,485257.14285714284
74,731500.4197108658
75,721711.3915961016
76,1814532.0
77,1084892.4731182796
78,722376.0
79,868321.4144541802
8,943952.0
80,805858.0408590885
81,934714.2857142857
82,849310.5068815039
83,948062.8311884935
84,19000.0
85,1183626.865671642
86,970533.3333333334
87,1105545.5804423091
88,1164803.923699799
89,773220.6521739131
9,2241120.0
90,778306.9856127579
91,1273689.189189189
92,810604.8034934498
93,1450915.8460161146
94,721911.3924050633
95,974726.2606417813
96,1200040.0
97,896709.3481790768
98,815568.6274509804
